Output will be saved to: D:\TradePlus_Automation\BP_FILES\inspect_output.txt
Waiting 3 seconds — make sure 'Margin - Pledge/Unpledge' window is open...
✓ Connected to TradePlusX main window

================================================================================
ALL DESCENDANT WINDOWS of TradePlusX
================================================================================
          handle=330028 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='Client' | rect=(320,240,403,261)
          handle=330032 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='CSV Import' | rect=(320,214,493,235)
          handle=330030 | class='WindowsForms10.SysDateTimePick32.app.0.141b42a_r7_ad1' | title='07/06/2026' | rect=(515,577,603,597)
          handle=330034 | class='WindowsForms10.EDIT.app.0.141b42a_r7_ad1' | title='1000' | rect=(1048,215,1111,235)
        handle=329786 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='...' | rect=(940,577,964,600)
        handle=329784 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='Send Email to Branches' | rect=(611,579,750,596)
        handle=329780 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='Value After Hair-Cut Above Rs.' | rect=(897,218,1050,231)
        handle=329782 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='' | rect=(510,217,525,231)
        handle=329776 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='Reject Pending Requests' | rect=(792,550,939,567)
        handle=329778 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='By Client && Branch Request' | rect=(811,270,967,287)
        handle=852598 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='' | rect=(821,214,888,235)
        handle=460724 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='% of Short Margin' | rect=(660,214,815,235)
        handle=329712 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='CC Approved Securities Only' | rect=(642,270,804,287)
        handle=1181578 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='To the Extent of Available Holding' | rect=(524,218,692,231)
        handle=330172 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='120' | rect=(610,214,658,235)
        handle=330168 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='All' | rect=(669,548,775,569)
        handle=330164 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='Segment :' | rect=(608,552,663,565)
        handle=330162 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='Exchange :' | rect=(460,272,521,285)
        handle=788356 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='NSE' | rect=(523,268,610,289)
        handle=591828 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='[Z136    ] NARIMAN FINVEST PVT.LTD./NARIMAN FINVEST PVT LTD' | rect=(299,548,603,569)
        handle=591844 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='DP :' | rect=(269,552,297,565)
        handle=526310 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='Select All' | rect=(1042,550,1112,567)
        handle=526358 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='Generate' | rect=(963,577,1038,600)
        handle=330004 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='Cancel' | rect=(1037,577,1112,600)
        handle=329996 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='Format :' | rect=(252,581,297,594)
        handle=330002 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='EASIEST' | rect=(299,577,418,598)
        handle=330008 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='Execution Date :' | rect=(424,581,510,594)
        handle=592304 | class='WindowsForms10.Window.8.app.0.141b42a_r7_ad1' | title='' | rect=(250,297,1116,540)
        handle=330010 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='Fetch' | rect=(1037,267,1112,290)
        handle=329944 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='No Selection Made' | rect=(732,240,851,261)
        handle=330012 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='Special Filter' | rect=(852,238,928,263)
        handle=1902000 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='Clients :' | rect=(274,272,318,285)
        handle=330014 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='Selection  :' | rect=(258,244,318,257)
        handle=330016 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='All' | rect=(320,268,455,289)
        handle=1313080 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='...' | rect=(701,241,725,261)
        handle=330018 | class='WindowsForms10.EDIT.app.0.141b42a_r7_ad1' | title='' | rect=(497,240,699,260)
        handle=330024 | class='WindowsForms10.EDIT.app.0.141b42a_r7_ad1' | title='' | rect=(406,240,494,260)
        handle=330028 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='Client' | rect=(320,240,403,261)
        handle=330032 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='CSV Import' | rect=(320,214,493,235)
        handle=330030 | class='WindowsForms10.SysDateTimePick32.app.0.141b42a_r7_ad1' | title='07/06/2026' | rect=(515,577,603,597)
        handle=330034 | class='WindowsForms10.EDIT.app.0.141b42a_r7_ad1' | title='1000' | rect=(1048,215,1111,235)
      handle=788312 | class='WindowsForms10.Window.8.app.0.141b42a_r7_ad1' | title='Pledge' | rect=(247,206,1122,607)
        handle=329786 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='...' | rect=(940,577,964,600)
        handle=329784 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='Send Email to Branches' | rect=(611,579,750,596)
        handle=329780 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='Value After Hair-Cut Above Rs.' | rect=(897,218,1050,231)
        handle=329782 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='' | rect=(510,217,525,231)
        handle=329776 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='Reject Pending Requests' | rect=(792,550,939,567)
        handle=329778 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='By Client && Branch Request' | rect=(811,270,967,287)
        handle=852598 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='' | rect=(821,214,888,235)
        handle=460724 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='% of Short Margin' | rect=(660,214,815,235)
        handle=329712 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='CC Approved Securities Only' | rect=(642,270,804,287)
        handle=1181578 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='To the Extent of Available Holding' | rect=(524,218,692,231)
        handle=330172 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='120' | rect=(610,214,658,235)
        handle=330168 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='All' | rect=(669,548,775,569)
        handle=330164 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='Segment :' | rect=(608,552,663,565)
        handle=330162 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='Exchange :' | rect=(460,272,521,285)
        handle=788356 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='NSE' | rect=(523,268,610,289)
        handle=591828 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='[Z136    ] NARIMAN FINVEST PVT.LTD./NARIMAN FINVEST PVT LTD' | rect=(299,548,603,569)
        handle=591844 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='DP :' | rect=(269,552,297,565)
        handle=526310 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='Select All' | rect=(1042,550,1112,567)
        handle=526358 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='Generate' | rect=(963,577,1038,600)
        handle=330004 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='Cancel' | rect=(1037,577,1112,600)
        handle=329996 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='Format :' | rect=(252,581,297,594)
        handle=330002 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='EASIEST' | rect=(299,577,418,598)
        handle=330008 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='Execution Date :' | rect=(424,581,510,594)
        handle=592304 | class='WindowsForms10.Window.8.app.0.141b42a_r7_ad1' | title='' | rect=(250,297,1116,540)
        handle=330010 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='Fetch' | rect=(1037,267,1112,290)
        handle=329944 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='No Selection Made' | rect=(732,240,851,261)
        handle=330012 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='Special Filter' | rect=(852,238,928,263)
        handle=1902000 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='Clients :' | rect=(274,272,318,285)
        handle=330014 | class='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' | title='Selection  :' | rect=(258,244,318,257)
        handle=330016 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='All' | rect=(320,268,455,289)
        handle=1313080 | class='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' | title='...' | rect=(701,241,725,261)
        handle=330018 | class='WindowsForms10.EDIT.app.0.141b42a_r7_ad1' | title='' | rect=(497,240,699,260)
        handle=330024 | class='WindowsForms10.EDIT.app.0.141b42a_r7_ad1' | title='' | rect=(406,240,494,260)
        handle=330028 | class='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' | title='Client' | rect=(320,240,403,261)
